# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,5833,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
1,6562,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
2,5834,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
2,6563,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
3,5835,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
3,6564,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
4,5836,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
4,6565,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
5,5837,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
5,6566,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
6,5838,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
6,6567,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
7,5839,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
7,6568,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
8,5840,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
8,6569,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
9,5841,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
9,6570,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
10,5842,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
10,6571,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
11,5843,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
11,6572,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
12,5844,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
12,6573,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
13,5845,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
13,6574,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
14,5846,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
14,6575,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
15,5847,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
15,6576,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
16,5848,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
16,6577,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
17,5849,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
17,6578,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
18,5850,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
18,6579,0.0000000001,0.9114036367,-0.9114036367,1.1169710017e+12
19,5851,0.0000000001,0.9114036367,0.9114036367,1.1169710017e+12
