# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,2,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
1,10,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
1,11,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
1,91,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
2,1,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
2,3,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
2,12,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
2,92,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
3,2,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
3,4,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
3,13,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
3,93,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
4,3,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
4,5,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
4,14,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
4,94,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
5,4,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
5,6,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
5,15,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
5,95,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
6,5,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
6,7,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
6,16,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
6,96,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
7,6,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
7,8,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
7,17,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
7,97,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
8,7,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
8,9,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
8,18,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
8,98,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
9,8,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
9,10,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
9,19,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
9,99,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
10,1,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
10,9,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
10,20,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
10,100,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
11,1,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
11,12,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
11,20,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
11,21,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
12,2,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
12,11,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
12,13,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
12,22,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
13,3,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
13,12,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
13,14,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
13,23,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
14,4,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
14,13,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
14,15,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
14,24,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
15,5,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
15,14,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
15,16,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
15,25,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
16,6,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
16,15,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
16,17,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
16,26,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
17,7,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
17,16,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
17,18,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
17,27,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
18,8,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
18,17,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
18,19,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
18,28,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
19,9,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
19,18,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
19,20,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
19,29,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
20,10,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
20,11,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
20,19,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
20,30,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
21,11,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
21,22,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
21,30,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
21,31,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
22,12,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
22,21,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
22,23,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
22,32,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
23,13,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
23,22,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
23,24,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
23,33,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
24,14,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
24,23,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
24,25,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
24,34,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
25,15,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
25,24,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
25,26,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
25,35,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
26,16,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
26,25,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
26,27,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
26,36,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
27,17,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
27,26,0.0000000001,-1.2000000000,0.0000000001,3.7330417534e+11
27,28,0.0000000001,1.2000000000,0.0000000001,3.7330417534e+11
27,37,1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
28,18,-1.2000000000,0.0000000001,0.0000000001,3.7330417534e+11
