#siteID  PE[eV]
1  0.000000
2  0.528828
3  0.0172766
4  0.819912
5  0.647081
6  0.288328
7  0.509964
8  0.80861
9  0.586659
10  0.84688
11  0.316702
12  0.0453722
13  0.293103
14  0.794796
15  0.657058
16  0.560717
17  0.698022
18  0.23557
19  0.379994
20  0.55347
21  0.577029
22  0.413847
23  0.85066
24  0.848045
25  0.592773
26  0.0163951
27  0.997916
28  0.714714
29  0.638379
30  0.482543
31  0.739194
32  0.337367
33  0.0284333
34  0.396002
35  0.322214
36  0.8288
37  0.0985223
38  0.86079
39  0.900594
40  0.411662
41  0.274138
42  0.70381
43  0.5516
44  0.22072
45  0.350583
46  0.0915292
47  0.500005
48  0.572542
49  0.601725
50  0.74312
51  0.543736
52  0.133135
53  0.574837
54  0.315505
55  0.398435
56  0.579238
57  0.318709
58  0.422938
59  0.0118709
60  0.489978
61  0.451993
62  0.718878
63  0.163153
64  0.8638
