#m,n,s_x,s_y,s_z,freq
1,2,4.0,0.0,0.0,73007590.24470297
1,8,-4.0,0.0,0.0,8381902.4498195825
1,9,0.0,4.0,0.0,46672875.42253507
1,57,0.0,-4.0,0.0,370967813.51051885
2,1,-4.0,0.0,0.0,261175835708.7256
2,3,4.0,0.0,0.0,228500006742.65622
2,10,0.0,4.0,0.0,372858159.4569555
2,58,0.0,-4.0,0.0,9906607730.450014
3,2,-4.0,0.0,0.0,83447780.44893126
3,4,4.0,0.0,0.0,8778420.06619495
3,11,0.0,4.0,0.0,430651757.64049315
3,59,0.0,-4.0,0.0,4553159266.605869
4,3,-4.0,0.0,0.0,2172124169435.5984
4,5,4.0,0.0,0.0,16627871201.385881
4,12,0.0,4.0,0.0,1747783602569.406
4,60,0.0,-4.0,0.0,56063355462.519646
5,4,-4.0,0.0,0.0,1146738398.6984003
5,6,4.0,0.0,0.0,70065881446.84482
5,13,0.0,4.0,0.0,67524800316.09155
5,61,0.0,-4.0,0.0,19752261294.71365
6,5,-4.0,0.0,0.0,272141276.2031147
6,7,4.0,0.0,0.0,786116479.3608987
6,14,0.0,4.0,0.0,86794908.30867982
6,62,0.0,-4.0,0.0,156159101.9548258
7,6,-4.0,0.0,0.0,24255716418.440113
7,8,4.0,0.0,0.0,433256304.2228663
7,15,0.0,4.0,0.0,1399383670.0510347
7,63,0.0,-4.0,0.0,63882700578.404564
8,1,4.0,0.0,0.0,2274879540700.324
8,7,-4.0,0.0,0.0,44010481115.65855
8,16,0.0,4.0,0.0,29718964604.916622
8,64,0.0,-4.0,0.0,2849183428.8813844
9,1,0.0,-4.0,0.0,408541754126.29486
9,10,4.0,0.0,0.0,583239739.968628
9,16,-4.0,0.0,0.0,5337178392.651134
9,17,0.0,4.0,0.0,1844962673.0429206
10,2,0.0,-4.0,0.0,51139603389.695335
10,9,-4.0,0.0,0.0,32692934120.48039
10,11,4.0,0.0,0.0,263917865356.38287
10,18,0.0,4.0,0.0,494379096177.6427
11,3,0.0,-4.0,0.0,44276652903.291405
11,10,-4.0,0.0,0.0,72249062.67520835
11,12,4.0,0.0,0.0,35626880364.36592
11,19,0.0,4.0,0.0,2676078871.5548887
12,4,0.0,-4.0,0.0,10909713.517857144
12,11,-4.0,0.0,0.0,535208758.11265695
12,13,4.0,0.0,0.0,642410010.5440164
12,20,0.0,4.0,0.0,85707408.94864349
13,5,0.0,-4.0,0.0,282382447.72264063
13,12,-4.0,0.0,0.0,29681695618.49318
13,14,4.0,0.0,0.0,90061158.67471136
13,21,0.0,4.0,0.0,485514131.76166326
14,6,0.0,-4.0,0.0,219688214053.1465
14,13,-4.0,0.0,0.0,211720775924.1789
14,15,4.0,0.0,0.0,12674459659.123112
14,22,0.0,4.0,0.0,83192046766.77454
15,7,0.0,-4.0,0.0,13625868875.935299
15,14,-4.0,0.0,0.0,1504428504.8882093
15,16,4.0,0.0,0.0,9201142649.883
15,23,0.0,4.0,0.0,976510508.6345183
