#m,n,s_x,s_y,s_z,freq
1,2,4.0,0.0,0.0,8279818338.982294
1,8,-4.0,0.0,0.0,2259464703.179762
1,9,0.0,4.0,0.0,6330510517.115901
1,57,0.0,-4.0,0.0,21958452894.41933
2,1,-4.0,0.0,0.0,1122431369627.6792
2,3,4.0,0.0,0.0,1035933148949.1395
2,10,0.0,4.0,0.0,22025521034.877842
2,58,0.0,-4.0,0.0,157599552507.52673
3,2,-4.0,0.0,0.0,8971165608.436903
3,4,4.0,0.0,0.0,2323003239.0636606
3,11,0.0,4.0,0.0,24014620859.946793
3,59,0.0,-4.0,0.0,98852510917.74072
4,3,-4.0,0.0,0.0,4000652122309.666
4,5,4.0,0.0,0.0,215031453779.09906
4,12,0.0,4.0,0.0,3511499382075.5415
4,60,0.0,-4.0,0.0,445869178865.5229
5,4,-4.0,0.0,0.0,43219388025.15594
5,6,4.0,0.0,0.0,509687466233.4844
5,13,0.0,4.0,0.0,498514718371.07526
5,61,0.0,-4.0,0.0,238435047861.36847
6,5,-4.0,0.0,0.0,18233777469.887733
6,7,4.0,0.0,0.0,34458164527.12635
6,14,0.0,4.0,0.0,9185367762.625193
6,62,0.0,-4.0,0.0,13065931640.051035
7,6,-4.0,0.0,0.0,269704668429.92084
7,8,4.0,0.0,0.0,24101658826.380974
7,15,0.0,4.0,0.0,48703714057.608574
7,63,0.0,-4.0,0.0,482203058121.20746
8,1,4.0,0.0,0.0,4113154688990.4565
8,7,-4.0,0.0,0.0,385597020746.1338
8,16,0.0,4.0,0.0,304663344158.8249
8,64,0.0,-4.0,0.0,74616048470.03972
9,1,0.0,-4.0,0.0,1468053455304.3098
9,10,4.0,0.0,0.0,28807678700.97559
9,16,-4.0,0.0,0.0,108739424824.9648
9,17,0.0,4.0,0.0,57490032003.55027
10,2,0.0,-4.0,0.0,421943609133.0502
10,9,-4.0,0.0,0.0,322605925140.97736
10,11,4.0,0.0,0.0,1129487096757.9067
10,18,0.0,4.0,0.0,1646023607079.5068
11,3,0.0,-4.0,0.0,386994568546.0578
11,10,-4.0,0.0,0.0,8228095624.260357
11,12,4.0,0.0,0.0,339677419273.21857
11,19,0.0,4.0,0.0,71862007538.40791
12,4,0.0,-4.0,0.0,2646598169.981495
12,11,-4.0,0.0,0.0,27359863538.6977
12,13,4.0,0.0,0.0,30527228672.96928
12,20,0.0,4.0,0.0,9116140701.291796
13,5,0.0,-4.0,0.0,18642434207.076958
13,12,-4.0,0.0,0.0,304434049289.2936
13,14,4.0,0.0,0.0,9391230888.132591
13,21,0.0,4.0,0.0,25806025685.839695
14,6,0.0,-4.0,0.0,1011775258069.3801
14,13,-4.0,0.0,0.0,989596353150.7048
14,15,4.0,0.0,0.0,182708045605.7371
14,22,0.0,4.0,0.0,565000829732.2188
15,7,0.0,-4.0,0.0,190817641289.1127
15,14,-4.0,0.0,0.0,50865454817.171165
15,16,4.0,0.0,0.0,150766571295.463
15,23,0.0,4.0,0.0,39246971753.49449
16,8,0.0,-4.0,0.0,30504253355.95162
16,9,4.0,0.0,0.0,85466038223.50388
16,15,-4.0,0.0,0.0,61641833190.45829
16,24,0.0,4.0,0.0,25401712740.01259
17,9,0.0,-4.0,0.0,161654594972.53992
17,18,4.0,0.0,0.0,824805928165.7578
17,24,-4.0,0.0,0.0,48046027052.95716
17,25,0.0,4.0,0.0,157131328332.1244
18,10,0.0,-4.0,0.0,5646047722.840085
18,17,-4.0,0.0,0.0,11267532786.966814
18,19,4.0,0.0,0.0,49311085158.59257
18,26,0.0,4.0,0.0,266641109977.52707
19,11,0.0,-4.0,0.0,129324634209.88023
19,18,-4.0,0.0,0.0,188467315383.60507
19,20,4.0,0.0,0.0,43090184274.23341
19,27,0.0,4.0,0.0,5475393672.495532
20,12,0.0,-4.0,0.0,1019458578252.8934
20,19,-4.0,0.0,0.0,215676214781.2283
20,21,4.0,0.0,0.0,86416661728.41263
20,28,0.0,4.0,0.0,45607572666.71915
21,13,0.0,-4.0,0.0,360130147572.15454
21,20,-4.0,0.0,0.0,107543240535.02142
21,22,4.0,0.0,0.0,205612956779.8304
21,29,0.0,4.0,0.0,72512727684.59845
22,14,0.0,-4.0,0.0,16448697682.26168
22,21,-4.0,0.0,0.0,45199135229.80824
22,23,4.0,0.0,0.0,12691552167.14126
22,30,0.0,4.0,0.0,70081819630.37505
23,15,0.0,-4.0,0.0,236796048797.4412
23,22,-4.0,0.0,0.0,732260933580.1687
23,24,4.0,0.0,0.0,97580245398.245
23,31,0.0,4.0,0.0,161731901446.4557
24,16,0.0,-4.0,0.0,365862252424.15155
24,17,4.0,0.0,0.0,193429684170.32236
24,23,-4.0,0.0,0.0,95239849014.14702
24,32,0.0,4.0,0.0,1031741821125.5774
25,17,0.0,-4.0,0.0,59144970879.70122
25,26,4.0,0.0,0.0,1399639209676.3015
25,32,-4.0,0.0,0.0,315475570502.9725
25,33,0.0,4.0,0.0,1323573844123.33
26,18,0.0,-4.0,0.0,34854069724.19047
26,25,-4.0,0.0,0.0,6639945333.227417
26,27,4.0,0.0,0.0,1012588057.7229891
26,34,0.0,4.0,0.0,16551489047.976717
27,19,0.0,-4.0,0.0,1697325963094.9124
27,26,-4.0,0.0,0.0,9177994711285.318
27,28,4.0,0.0,0.0,358921901886.5024
27,35,0.0,4.0,0.0,2219445661974.2363
28,20,0.0,-4.0,0.0,203771595265.66876
28,27,-4.0,0.0,0.0,25892897005.296295
28,29,4.0,0.0,0.0,137396214990.78625
28,36,0.0,4.0,0.0,56767952222.54459
29,21,0.0,-4.0,0.0,128164091122.25679
29,28,-4.0,0.0,0.0,67640348310.29004
29,30,4.0,0.0,0.0,198720012483.7228
29,37,0.0,4.0,0.0,1181388282703.5325
30,22,0.0,-4.0,0.0,132609682332.85202
30,29,-4.0,0.0,0.0,46766944719.53851
30,31,4.0,0.0,0.0,29289034946.93199
30,38,0.0,4.0,0.0,16656298933.450026
31,23,0.0,-4.0,0.0,57462552257.00825
31,30,-4.0,0.0,0.0,317303996370.34686
31,32,4.0,0.0,0.0,622496979214.6868
31,39,0.0,4.0,0.0,45574559203.283394
32,24,0.0,-4.0,0.0,9007609896.392015
32,25,4.0,0.0,0.0,29458787644.556164
32,31,-4.0,0.0,0.0,14929434437.122185
32,40,0.0,4.0,0.0,68283895822.85907
33,25,0.0,-4.0,0.0,7021540868.124243
33,34,4.0,0.0,0.0,17502697830.52427
33,40,-4.0,0.0,0.0,16275556582.300314
33,41,0.0,4.0,0.0,30815684181.630547
34,26,0.0,-4.0,0.0,561491948643.0334
34,33,-4.0,0.0,0.0,530976877306.57086
34,35,4.0,0.0,0.0,135781388947.29427
34,42,0.0,4.0,0.0,23098148535.536484
35,27,0.0,-4.0,0.0,4187319382.365735
35,34,-4.0,0.0,0.0,68444784005.70568
35,36,4.0,0.0,0.0,9180338012.778214
35,43,0.0,4.0,0.0,33240598916.32188
36,28,0.0,-4.0,0.0,163710817012.72772
36,35,-4.0,0.0,0.0,1012329592391.5332
36,37,4.0,0.0,0.0,2859329465357.533
36,44,0.0,4.0,0.0,1621528817207.6296
37,29,0.0,-4.0,0.0,7866615891.28395
37,36,-4.0,0.0,0.0,3250247287.3758903
37,38,4.0,0.0,0.0,2801737566.258248
37,45,0.0,4.0,0.0,29919800438.273003
38,30,0.0,-4.0,0.0,557958756361.4467
38,37,-4.0,0.0,0.0,3317058653321.2964
38,39,4.0,0.0,0.0,80139943605.07687
38,46,0.0,4.0,0.0,3426498997048.852
39,31,0.0,-4.0,0.0,203919204068.19257
39,38,-4.0,0.0,0.0,115966238812.07124
39,40,4.0,0.0,0.0,932680855763.0062
