# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,2,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
1,8,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
1,9,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
1,57,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
2,1,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
2,3,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
2,10,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
2,58,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
3,2,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
3,4,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
3,11,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
3,59,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
4,3,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
4,5,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
4,12,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
4,60,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
5,4,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
5,6,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
5,13,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
5,61,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
6,5,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
6,7,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
6,14,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
6,62,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
7,6,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
7,8,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
7,15,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
7,63,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
8,1,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
8,7,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
8,16,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
8,64,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
9,1,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
9,10,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
9,16,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
9,17,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
10,2,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
10,9,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
10,11,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
10,18,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
11,3,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
11,10,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
11,12,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
11,19,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
12,4,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
12,11,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
12,13,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
12,20,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
13,5,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
13,12,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
13,14,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
13,21,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
14,6,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
14,13,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
14,15,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
14,22,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
15,7,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
15,14,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
15,16,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
15,23,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
16,8,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
16,9,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
16,15,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
16,24,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
17,9,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
17,18,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
17,24,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
17,25,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
18,10,-4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
18,17,0.0000000001,-4.0000000000,0.0000000001,9.1247676508e+07
18,19,0.0000000001,4.0000000000,0.0000000001,9.1247676508e+07
18,26,4.0000000000,0.0000000001,0.0000000001,9.1247676508e+07
